Aarhus,65338,Denmark
Abu Dhabi,60013,United Arab Emirates
Akureyri,71389,Iceland
Albufeira,76558,Portugal
Alicante,66088,Spain
Alphen aan den Rijn,75064,Netherlands
Amboise,97582,France
Amnéville,97579,France
Amsterdam,75061,Netherlands
Angers,67158,France
Antalya,78987,Turkey
Antigua Guatemala,68016,Guatemala
Antwerp,60863,Belgium
Aosta,72022,Italy
Apeldoorn,75059,Netherlands
Arequipa,75334,Peru
Arnhem,75058,Netherlands
Astorga,95315,Spain
Athens,99239,Greece
Atlanta,79980,United States
Auburn Hills,80986,United States
Avignon,184100,France
Ayutthaya,78545,Thailand
Bakewell,186855,United Kingdom
Balchik,85333,Bulgaria
Baltimore,80176,United States
Banff,87579,Canada
Bangkok,78586,Thailand
Barcelona,66342,Spain
Bari,210005,Italy
Bariloche,60331,Argentina
Bath,67623,United Kingdom
Belfast,67614,United Kingdom
Benalmádena,66061,Spain
Benidorm,66059,Spain
Bergamo,71991,Italy
Berlin,65144,Germany
Bethlehem,76477,Palestine
Bilbao,66335,Spain
Birmingham,67597,United Kingdom
Blackpool,67591,United Kingdom
Blankenberge,60852,Belgium
Bodrum,78967,Turkey
Bogotá,81,Colombia
Bologna,71986,Italy
Bordeaux,67101,France
Boston,80874,United States
Boulogne-sur-Mer,67098,France
Bournemouth,67582,United Kingdom
Braga,76598,Portugal
Brampton,98490,Canada
Bran,115866,Romania
Brașov,260938,Romania
Brescia,71978,Italy
Brighton,67570,United Kingdom
Bruges,60844,Belgium
Brussels,60843,Belgium
Bucharest,76753,Romania
Budapest,68199,Hungary
Buenos Aires,60189,Argentina
Burgas,60950,Bulgaria
Caen,67081,France
Cagliari,71473,Italy
Cairns,60466,Australia
Calgary,62338,Canada
Cambridge,67548,United Kingdom
Cambridge,80879,United States
Çanakkale,183,Turkey
Cancún,24,Mexico
Capri,105984,Italy
Carcassonne,67073,France
Cardiff,67545,United Kingdom
Caserta,105064,Italy
Castel di Lama,106390,Italy
Catania,71461,Italy
Český Krumlov,90598,Czech Republic
Chamonix-Mont-Blanc,97278,France
Champs-sur-Marne,67054,France
Chantilly,97268,France
Charleston,80045,United States
Charlotte,80353,United States
Chaumont-sur-Loire,182857,France
Cherbourg-en-Cotentin,67038,France
Chicago,80816,United States
Chichén Itzá,74049,Mexico
Chinon,97220,France
Clermont,79784,France
Cluny,182711,France
Coevorden,111536,Netherlands
Coimbra,76595,Portugal
Cologne,64765,Germany
Como,71894,Italy
Constanța,260939,Romania
Copenhagen,113,Denmark
Córdoba,27,Spain
Cork,1841,Ireland
Cozumel,370,Mexico
Cusco,75323,Peru
Dachau,65070,Germany
Dallas,80608,United States
De Panne,85055,Belgium
Delft,75020,Netherlands
Delhi,70505,India
Denpasar,68506,Indonesia
Derinkuyu,120725,Turkey
Derry,199867,United Kingdom
Dorgali,105708,Italy
Dortmund,65045,Germany
Dresden,65042,Germany
Dubai,60005,United Arab Emirates
Dublin,68616,Ireland
Durham,126,United Kingdom
Düsseldorf,65037,Germany
Edinburgh,21,United Kingdom
Eindhoven,75003,Netherlands
Eisenstadt,83806,Austria
El Calafate,83553,Argentina
Emmen,74999,Netherlands
Enkhuizen,74998,Netherlands
Essen,64998,Germany
Fairbanks,82344,United States
